,data,count
0,"('e', '_')",0
1,"('t', '_')",1
2,"('t', 'h')",2
3,"('s', '_')",3
4,"('d', '_')",4
5,"('o', '_')",5
6,"('o', 'u')",6
7,"('i', 'n')",7
8,"('.', '_')",8
9,"('y', '_')",9
10,"('e', 'r')",10
11,"('a', 'n')",11
12,"('th', 'e_')",12
13,"('i', '_')",13
14,"(',', '_')",14
15,"('o', 'n')",15
16,"('o', 'r')",16
17,"('y', 'ou')",17
18,"('e', 'n')",18
19,"('i', 't_')",19
20,"('t', 'o_')",20
21,"('you', '_')",21
22,"('l', '_')",22
23,"('a', '_')",23
24,"('g', '_')",24
25,"('a', 'r')",25
26,"('in', 'g_')",26
27,"('?', '_')",27
28,"('i', 's_')",28
29,"('r', 'e')",29
30,"('a', 't_')",30
31,"('er', '_')",31
32,"('e', 'd_')",32
33,"('l', 'l_')",33
34,"('f', '_')",34
35,"('t', 'i')",35
36,"('o', 'm')",36
37,"('k', '_')",37
38,"('on', '_')",38
39,"('c', 'h')",39
40,"('v', 'e_')",40
41,"('an', '_')",41
42,"('h', 'a')",42
43,"('e', 's_')",43
44,"('s', 'e_')",44
45,"('b', 'u')",45
46,"('an', 'd_')",46
47,"('or', '_')",47
48,"('s', 't')",48
49,"('o', 'w')",49
50,"('w', 'h')",50
51,"('m', '_')",51
52,"('er', 'e_')",52
53,"('in', '_')",53
54,"('en', '_')",54
55,"(""'"", 's_')",55
56,"('w', 'i')",56
57,"('l', 'e')",57
58,"('l', 'i')",58
59,"('a', 'y_')",59
60,"('s', 'o_')",60
61,"('m', 'e_')",61
62,"('ow', '_')",62
63,"('r', 'i')",63
64,"('s', 't_')",64
65,"('b', 'e')",65
66,"('o', 'f_')",66
67,"('th', 'at_')",67
68,"('f', 'or_')",68
69,"('d', 'o_')",69
70,"('a', 'l')",70
71,"(""'"", 't_')",71
72,"('n', ""'t_"")",72
73,"('k', 'e_')",73
74,"('ha', 've_')",74
75,"('a', 't')",75
76,"('c', 'e_')",76
77,"('w', 'e_')",77
78,"('l', 'd_')",78
79,"('r', '_')",79
80,"('l', 'y_')",80
81,"('s', 'h')",81
82,"('o', 'o')",82
83,"('r', 'o')",83
84,"('bu', 't_')",84
85,"('c', 'an_')",85
86,"('d', 'i')",86
87,"('g', 'h')",87
88,"('t', 'a')",88
89,"('l', 'e_')",89
90,"('s', 'e')",90
91,"('a', 's_')",91
92,"('c', 'a')",92
93,"('n', 'e')",93
94,"('ar', 'e_')",94
95,"('s', 'i')",95
96,"('ou', 'ld_')",96
97,"('th', 'ere_')",97
98,"('b', 'e_')",98
99,"('p', '_')",99
100,"('th', 'is_')",100
101,"('o', 't_')",101
102,"('u', 'r')",102
103,"('c', 'om')",103
104,"('th', '_')",104
105,"('e', 't_')",105
106,"('i', 'f_')",106
107,"('gh', 't_')",107
108,"('en', 't_')",108
109,"('t', 'o')",109
110,"('wi', 'll_')",110
111,"('a', 'c')",111
112,"('ti', 'on_')",112
113,"('ou', 't_')",113
114,"('m', 'a')",114
115,"('th', 'e')",115
116,"('d', 'e')",116
117,"('u', 'se_')",117
118,"('m', 'y_')",118
119,"('p', 'ro')",119
120,"('ch', '_')",120
121,"('t', 's_')",121
122,"('le', 'a')",122
123,"('t', 'e')",123
124,"('a', 'b')",124
125,"('om', '_')",125
126,"('th', 'in')",126
127,"('f', 'i')",127
128,"('t', 'r')",128
129,"('wi', 'th_')",129
130,"('on', 'e_')",130
131,"('e', 'x')",131
132,"('u', 'n')",132
133,"('an', 'y_')",133
134,"('n', 'ow_')",134
135,"('l', 'a')",135
136,"('d', 'u')",136
137,"('w', 'e')",137
138,"('thin', 'k_')",138
139,"('s', 'u')",139
140,"('g', 'o_')",140
141,"('l', 'o')",141
142,"('m', 'e')",142
143,"('g', 'e_')",143
144,"('d', 'ay_')",144
145,"('g', 'et_')",145
146,"('you', 'r_')",146
147,"('li', 'ke_')",147
148,"('t', 'er_')",148
149,"(""'"", 'll_')",149
150,"(""'"", 'm_')",150
151,"('v', 'er')",151
152,"('wh', 'at_')",152
153,"('f', 'r')",153
154,"('e', 'c')",154
155,"('n', 'ot_')",155
156,"('ti', 'me_')",156
157,"('or', 'e_')",157
158,"('w', 'as_')",158
159,"('o', 'p')",159
160,"('c', 'on')",160
161,"('an', 't_')",161
162,"('ca', 'use_')",162
163,"('th', 'en_')",163
164,"('be', 'cause_')",164
165,"('a', 's')",165
166,"('h', 'e')",166
167,"('lea', 'se_')",167
168,"('a', 'i')",168
169,"('p', 'lease_')",169
170,"('v', 'i')",170
171,"('h', 'ow_')",171
172,"('ou', 'n')",172
173,"('a', 'd')",173
174,"('ar', '_')",174
175,"('a', 'l_')",175
176,"('w', 'or')",176
177,"('a', 'm_')",177
178,"('ar', 'd_')",178
179,"('s', 'p')",179
180,"('k', 'ing_')",180
181,"('ta', 'ke_')",181
182,"('ou', 'r_')",182
183,"('y', 'es_')",183
184,"('th', 'er_')",184
185,"('u', 'st_')",185
186,"('oo', 'd_')",186
187,"('s', 's_')",187
188,"('ri', 'ght_')",188
189,"('c', 'e')",189
190,"('t', 'ing_')",190
191,"('w', 'ould_')",191
192,"('p', 'o')",192
193,"('fr', 'om_')",193
194,"('p', 'ar')",194
195,"('ab', 'out_')",195
196,"('h', 'ere_')",196
197,"('s', 'in')",197
198,"('s', 'om')",198
199,"('y', 'e')",199
200,"('c', 'o')",200
201,"('ne', 'ed_')",201
202,"('a', 'y')",202
203,"('wh', 'en_')",203
204,"('a', 'f')",204
205,"('d', 'o')",205
206,"('w', 'ant_')",206
207,"('g', 'i')",207
208,"('n', '_')",208
209,"('com', 'p')",209
210,"('sh', 'ould_')",210
211,"('at', 'e_')",211
212,"('c', 'u')",212
213,"('m', 'o')",213
214,"('f', 'e')",214
215,"('p', 'p')",215
216,"('w', '_')",216
217,"('d', 'e_')",217
218,"('di', 'd_')",218
219,"('w', 'ay_')",219
220,"('a', 'tion_')",220
221,"('du', 'c')",221
222,"('k', 'now_')",222
223,"('ch', 'an')",223
224,"('or', 'r')",224
225,"('g', 'o')",225
226,"('j', 'ust_')",226
227,"('to', 'o_')",227
228,"('m', 'u')",228
229,"('a', 'll_')",229
230,"('al', 'ly_')",230
231,"('t', 'y_')",231
232,"('the', 'y_')",232
233,"('en', 'd_')",233
234,"('l', 'oo')",234
235,"('m', 'ent_')",235
236,"('c', 'i')",236
237,"('p', 'er')",237
238,"('or', 'd')",238
239,"('q', 'u')",239
240,"('m', 'i')",240
241,"('le', 't_')",241
242,"('pro', 'duc')",242
243,"('b', 'y_')",243
244,"('ch', 'ec')",244
245,"('f', 'or')",245
246,"('a', 'g')",246
247,"('f', 'in')",247
248,"('ur', 'e_')",248
249,"('v', 'er_')",249
250,"('p', 're')",250
251,"('i', 'c')",251
252,"('o', 'f')",252
253,"('n', 'o_')",253
254,"('th', 'ing_')",254
255,"('r', 'e_')",255
256,"('on', 'g_')",256
257,"('t', 'er')",257
258,"('g', 'ood_')",258
259,"('b', 'le_')",259
260,"('u', 'p_')",260
261,"('l', 'l')",261
262,"('ver', 'y_')",262
263,"('h', 'o')",263
264,"('s', 'er')",264
265,"('s', 'a')",265
266,"('the', 'm_')",266
267,"('ay', 's_')",267
268,"('t', 'ed_')",268
269,"('go', 'ing_')",269
270,"('t', 'e_')",270
271,"('se', 'e_')",271
272,"('wh', 'ere_')",272
273,"('a', 'd_')",273
274,"('m', 'ore_')",274
275,"('p', 'e')",275
276,"('m', 'b')",276
277,"('fi', 'r')",277
278,"('ti', 'on')",278
279,"('af', 'ter_')",279
280,"('be', 'en_')",280
281,"('wh', 'i')",281
282,"('sin', 'ce_')",282
283,"('com', 'e_')",283
284,"('p', 'or')",284
285,"('c', 'ould_')",285
286,"('k', 's_')",286
287,"('d', 's_')",287
288,"('ro', 'om_')",288
289,"('ha', 's_')",289
290,"('chan', 'ge_')",290
291,"('mu', 'ch_')",291
292,"('m', 'in')",292
293,"('o', 'ther_')",293
294,"('c', 'a_')",294
295,"('g', 'r')",295
296,"('t', 't')",296
