,data,count
0,"('.', '_')",0
1,"('요', '_')",1
2,"('이', '_')",2
3,"('는', '_')",3
4,"('하', '_')",4
5,"('가', '_')",5
6,"('?', '_')",6
7,"('다', '_')",7
8,"(',', '_')",8
9,"('에', '_')",9
10,"('서', '_')",10
11,"('고', '_')",11
12,"('있', '_')",12
13,"('을', '_')",13
14,"('니', '다_')",14
15,"('데', '_')",15
16,"('로', '_')",16
17,"('지', '_')",17
18,"('시', '_')",18
19,"('도', '_')",19
20,"('면', '_')",20
21,"('은', '_')",21
22,"('리', '_')",22
23,"('게', '_')",23
24,"('기', '_')",24
25,"('를', '_')",25
26,"('M', '_')",26
27,"('N', 'U')",27
28,"('NU', 'M_')",28
29,"('해', '_')",29
30,"('습', '니다_')",30
31,"('주', '_')",31
32,"('는', '데_')",32
33,"('한', '_')",33
34,"('어', '_')",34
35,"('수', '_')",35
36,"('나', '_')",36
37,"('야', '_')",37
38,"('제', '_')",38
39,"('것', '_')",39
40,"('만', '_')",40
41,"('겠', '_')",41
42,"('나', '요_')",42
43,"('일', '_')",43
44,"('사', '_')",44
45,"('같', '_')",45
46,"('들', '_')",46
47,"('거', '_')",47
48,"('니', '_')",48
49,"('되', '_')",49
50,"('보', '_')",50
51,"('인', '_')",51
52,"('에', '서_')",52
53,"('으', '로_')",53
54,"('어', '요_')",54
55,"('금', '_')",55
56,"('안', '_')",56
57,"('장', '_')",57
58,"('네', '_')",58
59,"('아', '_')",59
60,"('의', '_')",60
61,"('세', '요_')",61
62,"('할', '_')",62
63,"('까', '_')",63
64,"('번', '_')",64
65,"('없', '_')",65
66,"('내', '_')",66
67,"('했', '_')",67
68,"('좋', '_')",68
69,"('었', '_')",69
70,"('원', '_')",70
71,"('실', '_')",71
72,"('품', '_')",72
73,"('말', '_')",73
74,"('않', '_')",74
75,"('문', '_')",75
76,"('용', '_')",76
77,"('가', '요_')",77
78,"('자', '_')",78
79,"('간', '_')",79
80,"('합', '니다_')",80
81,"('무', '_')",81
82,"('까', '요_')",82
83,"('분', '_')",83
84,"('네', '요_')",84
85,"('스', '_')",85
86,"('니', '까_')",86
87,"('해', '서_')",87
88,"('오', '_')",88
89,"('전', '_')",89
90,"('신', '_')",90
91,"('저', '_')",91
92,"('럼', '_')",92
93,"('정', '_')",93
94,"('라', '_')",94
95,"('그', '럼_')",95
96,"('지', '만_')",96
97,"('싶', '_')",97
98,"('지', '금_')",98
99,"('약', '_')",99
100,"('능', '_')",100
101,"('시', '간_')",101
102,"('너', '무_')",102
103,"('건', '_')",103
104,"('음', '_')",104
105,"('송', '_')",105
106,"('님', '_')",106
107,"('더', '_')",107
108,"('그', '렇')",108
109,"('여', '기_')",109
110,"('가', '능_')",110
111,"('먹', '_')",111
112,"('받', '_')",112
113,"('다', '고_')",113
114,"('상', '_')",114
115,"('아', '요_')",115
116,"('터', '_')",116
117,"('늘', '_')",117
118,"('까', '지_')",118
119,"('드', '_')",119
120,"('러', '_')",120
121,"('때', '_')",121
122,"('잘', '_')",122
123,"('려', '_')",123
124,"('각', '_')",124
125,"('오', '늘_')",125
126,"('적', '_')",126
127,"('어', '서_')",127
128,"('과', '_')",128
129,"('히', '_')",129
130,"('행', '_')",130
131,"('른', '_')",131
132,"('드', '릴')",132
133,"('우', '리_')",133
134,"('은', '데_')",134
135,"('좀', '_')",135
136,"('식', '_')",136
137,"('알', '_')",137
138,"('와', '_')",138
139,"('게', '요_')",139
140,"('혹', '시_')",140
141,"('입', '니다_')",141
142,"('비', '_')",142
143,"('화', '_')",143
144,"('트', '_')",144
145,"('이', '번_')",145
146,"('희', '_')",146
147,"('소', '_')",147
148,"('죠', '_')",148
149,"('대', '_')",149
150,"('해', '야_')",150
151,"('물', '_')",151
152,"('래', '_')",152
153,"('저', '희_')",153
154,"('그', '_')",154
155,"('드', '리_')",155
156,"('았', '_')",156
157,"('르', '_')",157
158,"('제', '품_')",158
159,"('료', '_')",159
160,"('많', '이_')",160
161,"('어', '떻')",161
162,"('다', '른_')",162
163,"('확', '인_')",163
164,"('주', '문_')",164
165,"('두', '_')",165
166,"('매', '_')",166
167,"('생', '각_')",167
168,"('으', '면_')",168
169,"('많', '_')",169
170,"('맞', '_')",170
171,"('마', '_')",171
172,"('데', '요_')",172
173,"('정', '말_')",173
174,"('구', '_')",174
175,"('중', '_')",175
176,"('셨', '_')",176
177,"('그렇', '_')",177
178,"('방', '_')",178
179,"('명', '_')",179
180,"('람', '_')",180
181,"('차', '_')",181
182,"('못', '_')",182
183,"('던', '_')",183
184,"('회', '사_')",184
185,"('어떻', '게_')",185
186,"('디', '_')",186
187,"('록', '_')",187
188,"('랑', '_')",188
189,"('됩', '니다_')",189
190,"('아', '니_')",190
191,"('찮', '_')",191
192,"('을', '까요_')",192
193,"('인', '데_')",193
194,"('쪽', '_')",194
195,"('정', '도_')",195
196,"('어', '디_')",196
197,"('라', '고_')",197
198,"('어', '떤')",198
199,"('는', '지_')",199
200,"('예', '약_')",200
201,"('진', '_')",201
202,"('죄', '송_')",202
203,"('부', '터_')",203
204,"('달', '_')",204
205,"('그', '런')",205
206,"('부', '_')",206
207,"('어떤', '_')",207
208,"('괜', '찮_')",208
209,"('려', '고_')",209
210,"('타', '_')",210
211,"('아', '서_')",211
212,"('버', '스_')",212
213,"('사', '람_')",213
214,"('테', '_')",214
215,"('점', '_')",215
216,"('바', '로_')",216
217,"('왔', '_')",217
218,"('개', '_')",218
219,"('후', '_')",219
220,"('다', '음_')",220
221,"('조', '금_')",221
222,"('동', '_')",222
223,"('우', '_')",223
224,"('들', '어')",224
225,"('곳', '_')",225
226,"('업', '_')",226
227,"('해', '요_')",227
228,"('입', '_')",228
229,"('너', '_')",229
230,"('치', '_')",230
231,"('말', '씀')",231
232,"('그', '래')",232
233,"('말씀', '_')",233
234,"('건', '가요_')",234
235,"('불', '_')",235
236,"('도', '록_')",236
237,"('색', '_')",237
238,"('으', '니_')",238
239,"('단', '_')",239
240,"('다', '시_')",240
241,"('국', '_')",241
242,"('직', '_')",242
243,"('체', '_')",243
244,"('구', '매_')",244
245,"('된', '_')",245
246,"('운', '_')",246
247,"('여', '_')",247
248,"('같', '이_')",248
249,"('산', '_')",249
250,"('다', '면_')",250
251,"('필', '요_')",251
252,"('집', '_')",252
253,"('몇', '_')",253
254,"('작', '_')",254
255,"('그', '러')",255
256,"('성', '_')",256
257,"('당', '_')",257
258,"('드릴', '게요_')",258
259,"('보', '다_')",259
260,"('사', '용_')",260
261,"('락', '_')",261
262,"('찾', '_')",262
263,"('길', '_')",263
264,"('전', '화_')",264
265,"('알', '려_')",265
266,"('표', '_')",266
267,"('예', '요_')",267
268,"('줄', '_')",268
269,"('선', '_')",269
270,"('긴', '_')",270
271,"('때', '문_')",271
272,"('경', '_')",272
273,"('내', '일_')",273
274,"('편', '_')",274
275,"('기', '다')",275
276,"('근', '_')",276
277,"('격', '_')",277
278,"('청', '_')",278
279,"('셔', '야_')",279
280,"('군', '요_')",280
281,"('아', '직_')",281
282,"('카', '드_')",282
283,"('증', '_')",283
284,"('모', '르_')",284
285,"('인', '가요_')",285
286,"('하', '나_')",286
287,"('준', '비_')",287
288,"('속', '_')",288
289,"('상', '품_')",289
290,"('보', '내_')",290
291,"('걸', '_')",291
292,"('발', '_')",292
293,"('그러', '면_')",293
294,"('셔', '서_')",294
295,"('류', '_')",295
296,"('생', '_')",296
297,"('라', '서_')",297
298,"('역', '_')",298
299,"('객', '_')",299
300,"('감', '사_')",300
301,"('이', '용_')",301
302,"('음', '식_')",302
303,"('재', '_')",303
