,token,index
0,Token.PAD,0
1,Token.UNK,1
2,Token.SOS,2
3,Token.EOS,3
4,도와드릴까요_,4
5,에스컬레이터_,5
6,부탁드립니다_,6
7,애플리케이션_,7
8,프레젠테이션_,8
9,엘리베이터_,9
10,부탁드려요_,10
11,해드릴까요_,11
12,아르바이트_,12
13,아이스크림_,13
14,아메리카노_,14
15,어떠신가요_,15
16,파운데이션_,16
17,플리케이션_,17
18,업그레이드_,18
19,소프트웨어_,19
20,채식주의자_,20
21,내비게이션_,21
22,봐야겠어요_,22
23,들어갑니다_,23
24,방탄소년단_,24
25,물어볼게요_,25
26,잃어버려서_,26
27,시끄러워서_,27
28,베스트셀러_,28
29,아이라이너_,29
30,크리스마스_,30
31,가까우니까_,31
32,패스트푸드_,32
33,드릴게요_,33
34,드립니다_,34
35,드릴까요_,35
36,바랍니다_,36
37,더라고요_,37
38,아무래도_,38
39,프로그램_,39
40,셔틀버스_,40
41,홈페이지_,41
42,아닌가요_,42
43,프로젝트_,43
44,아닙니다_,44
45,지하철역_,45
46,다이어트_,46
47,어떠세요_,47
48,기다려야_,48
49,그렇지만_,49
50,합니다만_,50
51,알레르기_,51
52,그러니까_,52
53,레스토랑_,53
54,가져다주_,54
55,체크아웃_,55
56,스테이크_,56
57,잃어버렸_,57
58,여보세요_,58
59,텔레비전_,59
60,업데이트_,60
61,신용카드_,61
62,아이디어_,62
63,스트레스_,63
64,여쭤봐도_,64
65,으십니까_,65
66,고등학교_,66
67,걸릴까요_,67
68,대중교통_,68
69,나옵니다_,69
70,메이크업_,70
71,교통사고_,71
72,걸립니다_,72
73,룸서비스_,73
74,감자튀김_,74
75,중간고사_,75
76,스파게티_,76
77,오랫동안_,77
78,와이파이_,78
79,보입니다_,79
80,다릅니다_,80
81,돼지고기_,81
82,물어봐도_,82
83,마찬가지_,83
84,으십니다_,84
85,머리카락_,85
86,해외여행_,86
87,잃어버린_,87
88,상관없이_,88
89,한꺼번에_,89
90,들어와서_,90
91,샌드위치_,91
92,기말고사_,92
93,으셨어요_,93
94,그런가요_,94
95,콘퍼런스_,95
96,어려워서_,96
97,계신가요_,97
98,오토바이_,98
99,비즈니스_,99
100,물어봐야_,100
101,디자이너_,101
102,어린아이_,102
103,필라테스_,103
104,돌아다니_,104
105,떨어져서_,105
106,좋아해서_,106
107,블라우스_,107
108,으니까요_,108
109,아닐까요_,109
110,고마워요_,110
111,공항버스_,111
112,내일모레_,112
113,인테리어_,113
114,다른가요_,114
115,인수인계_,115
116,나올까요_,116
117,재무제표_,117
118,마음대로_,118
119,어려운데_,119
120,여기저기_,120
121,CCTV_,121
122,김치찌개_,122
123,선글라스_,123
124,스마트폰_,124
125,오프라인_,125
126,이루어지_,126
127,할아버지_,127
128,쓰레기통_,128
129,교통수단_,129
130,스트레칭_,130
131,교통카드_,131
132,물리치료_,132
133,브레이크_,133
134,프로모션_,134
135,플라스틱_,135
136,나온다고_,136
137,바이러스_,137
138,셨잖아요_,138
139,걸린다고_,139
140,해야겠어_,140
141,미세먼지_,141
142,카탈로그_,142
143,소매치기_,143
144,이탈리아_,144
145,아름다운_,145
146,갑작스럽_,146
147,안전벨트_,147
148,거스름돈_,148
149,열쇠고리_,149
150,마스카라_,150
151,으셨는데_,151
152,젠테이션_,152
153,싱가포르_,153
